color,price,model,specs,engine,bodytype,mileage,city
White,"$13,300 ",2016 Dodge Dart SXT,"Used 2016 Dodge Dart SXT with FWD, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, DVD, Air Conditioning",4 Cyl,Sedan,"Mileage: 8,006 miles",Boston
White,"$13,982 ",2014 Toyota Corolla S,"Used 2014 Toyota Corolla S with FWD, Fog Lights, Alloy Wheels, Rear-View Camera, Air Conditioning, Handsfree/Bluetooth Integration, Power Mirrors",4 Cyl,Sedan,"Mileage: 30,409 miles",Boston
Beige,"$16,570 ",2014 Toyota Camry XLE,"Used 2014 Toyota Camry XLE with FWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3",4 Cyl,Sedan,"Mileage: 29,997 miles",Boston
Gray,"$20,500 ",2014 Toyota RAV4 XLE,"Used 2014 Toyota RAV4 XLE with AWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio, Cloth Seats",4 Cyl,SUV,"Mileage: 25,816 miles",Boston
Black,"$27,995 ",2014 Cadillac SRX Premium,"Used 2014 Cadillac SRX Premium with AWD, Remote Start, Leather Seats, Fog Lights, Power Sun/Moonroof, Navigation System, Cruise Control, Heated Seats, Rear-View Camera, Split/Folding Seats, Air Conditioning",6 Cyl,SUV,"Mileage: 46,711 miles",Boston
Red,"$13,982 ",2014 Toyota Corolla S,"Used 2014 Toyota Corolla S with FWD, Fog Lights, Alloy Wheels, Rear-View Camera, Air Conditioning, Power Mirrors",4 Cyl,Sedan,"Mileage: 24,205 miles",Boston
Gray,"$33,275 ",2014 BMW 5 Series 535i xDrive,"Used 2014 BMW 5 Series 535i xDrive with AWD, Fog Lights, Power Sun/Moonroof, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3",6 Cyl,Sedan,"Mileage: 38,266 miles",Boston
Gray,"$29,250 ",2015 Mercedes-Benz GLA 250,"Used 2015 Mercedes-Benz GLA 250 with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera",4 Cyl,SUV,"Mileage: 20,659 miles",Boston
White,"$27,000 ",2015 Mercedes-Benz GLA 250,"Used 2015 Mercedes-Benz GLA 250 with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera",4 Cyl,SUV,"Mileage: 33,644 miles",Boston
Silver,"$14,892 ",2015 Toyota Corolla S,"Used 2015 Toyota Corolla S with FWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Rear-View Camera, Air Conditioning, Handsfree/Bluetooth Integration, Power Mirrors",4 Cyl,Sedan,"Mileage: 20,596 miles",Boston
Red,"$10,390 ",2014 Volkswagen Jetta S,,4 Cyl,Sedan,"Mileage: 21,728 miles",Boston
