model,bodytype,color,specs,engine,mileage,price,city
2016 Land Rover Discovery Sport HSE,SUV,Red,"Used 2016 Land Rover Discovery Sport HSE with 4WD, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Split/Folding Seats, Air Conditioning",4 Cyl,"Mileage: 24,274 miles","$36,900 ",NYC
2014 BMW 5 Series 550i,Sedan,Black,,8 Cyl,"Mileage: 53,227 miles","$29,990 ",NYC
2014 BMW 3 Series 328i xDrive,Sedan,White,"Used 2014 BMW 3 Series 328i xDrive with AWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering, Power Windows",4 Cyl,"Mileage: 36,668 miles","$24,436 ",NYC
2015 Jeep Grand Cherokee Laredo,SUV,Black,"Used 2015 Jeep Grand Cherokee Laredo with 4WD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, AM/FM",6 Cyl,"Mileage: 28,635 miles","$24,500 ",NYC
2014 BMW 7 Series 740Li xDrive,Sedan,White,"Used 2014 BMW 7 Series 740Li xDrive with AWD, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, Satellite Radio, Power Steering, Power Windows",6 Cyl,"Mileage: 50,437 miles","$33,900 ",NYC
2015 Lexus RX 350,SUV,White,"Used 2015 Lexus RX 350 with AWD, Fog Lights, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio",6 Cyl,"Mileage: 18,105 miles","$33,688 ",NYC
2012 Audi Q5 Premium Plus,SUV,Brown,"Used 2012 Audi Q5 Premium Plus with AWD, Remote Start, Leather Seats, Fog Lights, Trailer Hitch, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc)",6 Cyl,"Mileage: 50,335 miles","$19,995 ",NYC
2015 Chevrolet Malibu LT,Sedan,Black,"Used 2015 Chevrolet Malibu LT with FWD, Remote Start, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats",4 Cyl,"Mileage: 17,923 miles","$14,000 ",NYC
2014 Lexus LX 570,SUV,Black,"Used 2014 Lexus LX 570 with 4WD, Fog Lights, Trailer Hitch, Navigation System, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, DVD, Air Conditioning, MP3",8 Cyl,"Mileage: 31,437 miles","$58,707 ",NYC
2015 Lexus ES 350,Sedan,Beige,"Used 2015 Lexus ES 350 with FWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning",6 Cyl,"Mileage: 16,119 miles","$28,995 ",NYC
2014 BMW 5 Series 535i xDrive,Sedan,Blue,"Used 2014 BMW 5 Series 535i xDrive with AWD, Leather Seats, Alloy Wheels, Navigation System, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio",6 Cyl,"Mileage: 57,232 miles","$24,990 ",NYC
