price,color,mileage,bodytype,model,specs,engine,city
"$20,980 ",Silver,"Mileage: 49,696 miles",SUV,2013 BMW X3 xDrive28i,"Used 2013 BMW X3 xDrive28i with AWD, Alloy Wheels, Keyless Entry, AM/FM, Handsfree/Bluetooth Integration",4 Cyl,LA
"$22,997 ",White,"Mileage: 57,795 miles",SUV,2015 Kia Sorento,"Used 2015 Kia Sorento with FWD, Fog Lights, Power Sun/Moonroof, Third Row Seating, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats",6 Cyl,LA
"$12,888 ",Blue,"Mileage: 26,379 miles",SUV,2015 Mitsubishi Outlander Sport ES,"Used 2015 Mitsubishi Outlander Sport ES with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering, Power Windows, AM/FM",4 Cyl,LA
"$14,899 ",Gray,"Mileage: 12,236 miles",Sedan,2016 Toyota Corolla L,"Used 2016 Toyota Corolla L with FWD, Split/Folding Seats, Air Conditioning, Power Steering, Aux Audio Adapter, Trip Computer, Intermittent Wipers, Rear Window Defroster, Front Airbags (Driver), Power Mirrors",4 Cyl,LA
"$29,257 ",Black,"Mileage: 26,751 miles",SUV,2015 Audi Q5 Premium,"Used 2015 Audi Q5 Premium with AWD, Leather Seats, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio",4 Cyl,LA
"$15,706 ",Gray,"Mileage: 7,052 miles",Hatchback,2015 Ford Focus Titanium,"Used 2015 Ford Focus Titanium with FWD, Remote Start, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera",4 Cyl,LA
"$25,397 ",White,"Mileage: 45,703 miles",SUV,2014 Mercedes-Benz GLK 350,"Used 2014 Mercedes-Benz GLK 350 with RWD, Fog Lights, Power Sun/Moonroof, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3",6 Cyl,LA
"$32,864 ",White,"Mileage: 27,156 miles",Sedan,2014 BMW 5 Series 535i,"Used 2014 BMW 5 Series 535i with RWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera",6 Cyl,LA
"$14,270 ",White,"Mileage: 21,883 miles",Sedan,2014 Honda Civic LX,"Used 2014 Honda Civic LX with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM, Trip Computer",4 Cyl,LA
"$22,470 ",Gray,"Mileage: 28,066 miles",Sedan,2014 Mercedes-Benz CLA 250,"Used 2014 Mercedes-Benz CLA 250 with FWD, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering",4 Cyl,LA
"$15,688 ",Gray,"Mileage: 18,757 miles",Sedan,2016 Toyota Corolla LE,"Used 2016 Toyota Corolla LE with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows",4 Cyl,LA
"$13,995 ",White,"Mileage: 9,756 miles",Sedan,2014 Honda Civic LX,"Used 2014 Honda Civic LX with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM, Trip Computer",4 Cyl,LA
"$35,621 ",White,"Mileage: 27,678 miles",SUV,2015 Lexus RX 350,"Used 2015 Lexus RX 350 with FWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Cruise Control, Heated Seats, Rear-View Camera, Split/Folding Seats, Air Conditioning, Satellite Radio",6 Cyl,LA
"$24,995 ",Unspecified,"Mileage: 17,887 miles",Hatchback,2016 Lexus CT 200h,"Used 2016 Lexus CT 200h with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Satellite Radio, Power Steering, Power Windows",4 Cyl,LA
"$12,998 ",Unspecified,"Mileage: 36,421 miles",SUV,2015 Jeep Patriot Sport,"Used 2015 Jeep Patriot Sport with FWD, Fog Lights, Cruise Control, CD (Single Disc), Split/Folding Seats, MP3, Cloth Seats, Power Steering, AM/FM, Aux Audio Adapter, Intermittent Wipers",4 Cyl,LA
"$56,980 ",Brown,"Mileage: 13,721 miles",Coupe,2015 BMW M4,"Used 2015 BMW M4 with RWD, Leather Seats, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3",6 Cyl,LA
"$14,288 ",Unspecified,"Mileage: 48,691 miles",Hatchback,2014 Scion tC,"Used 2014 Scion tC with FWD, Power Sun/Moonroof, Cruise Control, Power Steering, Intermittent Wipers, Power Locks, Rear Window Defroster, Handsfree/Bluetooth Integration",4 Cyl,LA
"$19,995 ",Blue,"Mileage: 17,389 miles",SUV,2016 Mazda CX-3 Grand Touring,"Used 2016 Mazda CX-3 Grand Touring with AWD, Fog Lights, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering",4 Cyl,LA
"$24,000 ",Black,"Mileage: 32,668 miles",SUV,2014 Ford Explorer XLT,"Used 2014 Ford Explorer XLT with FWD, Fog Lights, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Satellite Radio, Cloth Seats",6 Cyl,LA
"$28,194 ",Black,"Mileage: 27,178 miles",SUV,2015 Mercedes-Benz GLK 350,"Used 2015 Mercedes-Benz GLK 350 with RWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Power Steering, Power Windows, AM/FM",6 Cyl,LA
"$26,995 ",Gray,"Mileage: 4,214 miles",Sedan,2017 Subaru WRX Base,,4 Cyl,LA
"$16,688 ",Gray,"Mileage: 12,657 miles",Sedan,2016 Toyota Corolla S,"Used 2016 Toyota Corolla S with FWD, Fog Lights, Keyless Entry, Cruise Control, Rear-View Camera, Split/Folding Seats, Air Conditioning, Power Steering, Aux Audio Adapter, Trip Computer, Intermittent Wipers",4 Cyl,LA
"$8,991 ",Silver,"Mileage: 24,116 miles",Hatchback,2014 Chevrolet Spark LS,"Used 2014 Chevrolet Spark LS with FWD, Split/Folding Seats, Air Conditioning, Power Steering, Power Windows, Trip Computer, Intermittent Wipers, Rear Window Defroster, Front Airbags (Driver)",4 Cyl,LA
"$29,556 ",Gray,"Mileage: 32,917 miles",SUV,2014 Audi Q5 Premium Plus,"Used 2014 Audi Q5 Premium Plus with AWD, Remote Start, Leather Seats, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Air Conditioning, MP3",4 Cyl,LA
"$36,590 ",Unspecified,"Mileage: 6,094 miles",SUV,2017 BMW X1 xDrive28i,"Used 2017 BMW X1 xDrive28i with AWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Power Steering, Power Windows, AM/FM",4 Cyl,LA
"$25,990 ",White,"Mileage: 31,020 miles",SUV,2014 BMW X3 xDrive28i,"Used 2014 BMW X3 xDrive28i with AWD, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Power Steering, Power Windows",4 Cyl,LA
"$16,000 ",Blue,"Mileage: 17,692 miles",Sedan,2015 Buick Verano,"Used 2015 Buick Verano with FWD, Remote Start, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio, Cloth Seats",4 Cyl,LA
"$32,885 ",Blue,"Mileage: 14,542 miles",Sedan,2016 Infiniti Q50 Premium,"Used 2016 Infiniti Q50 Premium with RWD, Remote Start, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats",6 Cyl,LA
"$49,980 ",Blue,"Mileage: 20,063 miles",SUV,2016 Porsche Macan S,"Used 2016 Porsche Macan S with AWD, Navigation System, Air Conditioning, Handsfree/Bluetooth Integration",6 Cyl,LA
