price,model,specs,color,bodytype,mileage,engine,city
"$11,995 ",2013 Scion tC,"Used 2013 Scion tC with FWD, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, Power Windows, Power Seat (Driver), Power Locks, Rear Window Defroster",White,Hatchback,"Mileage: 47,329 miles",4 Cyl,SanDiego
"$13,984 ",2016 Volkswagen Passat S,"Used 2016 Volkswagen Passat S with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering",White,Sedan,"Mileage: 26,318 miles",4 Cyl,SanDiego
"$15,997 ",2012 Lexus IS 250,"Used 2012 Lexus IS 250 with RWD, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, Power Steering",Black,Sedan,"Mileage: 70,049 miles",6 Cyl,SanDiego
"$9,980 ",2016 Hyundai Accent SE,"Used 2016 Hyundai Accent SE with FWD, Keyless Entry, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering, AM/FM, Aux Audio Adapter",Black,Sedan,"Mileage: 34,789 miles",4 Cyl,SanDiego
"$26,777 ",2016 Jeep Grand Cherokee Limited Edition,"Used 2016 Jeep Grand Cherokee Limited Edition with RWD, Remote Start, Fog Lights, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3",Silver,SUV,"Mileage: 25,000 miles",6 Cyl,SanDiego
"$47,990 ",2009 Porsche 911 Carrera,"Used 2009 Porsche 911 Carrera with RWD, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Power Steering, Power Windows, AM/FM",White,Coupe,"Mileage: 35,000 miles",6 Cyl,SanDiego
"$8,995 ",2006 BMW 3 Series 330Ci,"Used 2006 BMW 3 Series 330Ci with RWD, Keyless Entry, Heated Seats, Power Windows, Power Locks, Handsfree/Bluetooth Integration, Power Mirrors",Blue,Convertible,"Mileage: 88,214 miles",6 Cyl,SanDiego
"$12,977 ",2014 Ford Fusion SE,"Used 2014 Ford Fusion SE with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering",White,Sedan,"Mileage: 56,753 miles",4 Cyl,SanDiego
"$10,295 ",2012 Nissan Altima,"Used 2012 Nissan Altima with FWD, Keyless Entry, Cruise Control, Split/Folding Seats, Air Conditioning, Cloth Seats, Power Steering, AM/FM, 4-Wheel Disc Brakes, Trip Computer, Intermittent Wipers",White,Sedan,"Mileage: 53,580 miles",4 Cyl,SanDiego
"$9,888 ",2005 Lexus RX 330,"Used 2005 Lexus RX 330 with FWD, Fog Lights, Keyless Entry",Beige,SUV,"Mileage: 111,000 miles",6 Cyl,SanDiego
