mileage,specs,color,bodytype,engine,model,price,city
"Mileage: 27,523 miles","Used 2016 Mazda Mazda3 i Touring with FWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, Rear-View Camera, Split/Folding Seats, Air Conditioning, Cloth Seats, Power Steering",Red,Hatchback,4 Cyl,2016 Mazda Mazda3 i Touring,"$14,889 ",Miami
"Mileage: 63,428 miles","Used 2011 Honda CR-V EXL with FWD, Leather Seats, Power Sun/Moonroof, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Power Steering, Power Windows, AM/FM",Silver,SUV,4 Cyl,2011 Honda CR-V EXL,"$11,719 ",Miami
"Mileage: 96,889 miles","Used 2008 Honda Odyssey EX with FWD, Leather Seats, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, Split/Folding Seats, DVD, Air Conditioning, MP3, Satellite Radio",Blue,Minivan,6 Cyl,2008 Honda Odyssey EX,"$9,500 ",Miami
"Mileage: 35,624 miles","Used 2015 Nissan Sentra S with FWD, Cruise Control, Split/Folding Seats, Air Conditioning, Power Steering, Aux Audio Adapter, Trip Computer, Intermittent Wipers, Power Locks, Rear Window Defroster, Front Airbags (Driver)",Black,Sedan,4 Cyl,2015 Nissan Sentra S,"$10,235 ",Miami
"Mileage: 71,246 miles","Used 2008 Pontiac G5 with FWD, Keyless Entry, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering, Power Windows, AM/FM",Red,Coupe,4 Cyl,2008 Pontiac G5,"$4,990 ",Miami
"Mileage: 14,164 miles","Used 2015 Chevrolet Camaro LS with RWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering, Power Windows",Yellow,Coupe,6 Cyl,2015 Chevrolet Camaro LS,"$16,614 ",Miami
"Mileage: 23,660 miles","Used 2014 Chevrolet Malibu LTZ with FWD, Remote Start, Leather Seats, Fog Lights, Power Sun/Moonroof, Cruise Control, Heated Seats, Split/Folding Seats, Air Conditioning, Power Steering, Aux Audio Adapter",Silver,Sedan,4 Cyl,2014 Chevrolet Malibu LTZ,"$14,591 ",Miami
"Mileage: 30,142 miles","Used 2014 Nissan Altima SV with FWD, Remote Start, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio",Silver,Sedan,4 Cyl,2014 Nissan Altima SV,"$11,999 ",Miami
"Mileage: 12,175 miles","Used 2016 Volkswagen Jetta S with FWD, Cruise Control, Air Conditioning, Cloth Seats, Power Steering, Trip Computer, Intermittent Wipers, Power Locks, Rear Window Defroster, Handsfree/Bluetooth Integration, Power Mirrors",White,Sedan,4 Cyl,2016 Volkswagen Jetta S,"$12,991 ",Miami
"Mileage: 14,879 miles","Used 2016 Acura RDX Advance with FWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats",Silver,SUV,6 Cyl,2016 Acura RDX Advance,"$33,995 ",Miami
"Mileage: 15,820 miles","Used 2014 Mini Cooper Countryman S with FWD, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Air Conditioning, MP3, Satellite Radio",Silver,SUV,4 Cyl,2014 Mini Cooper Countryman S,"$16,999 ",Miami
"Mileage: 22,237 miles","Used 2013 Kia Soul Base with FWD, Satellite Radio, AM/FM, 4-Wheel Disc Brakes",Silver,Wagon,4 Cyl,2013 Kia Soul Base,"$9,990 ",Miami
